gene_id,SRR24630895,SRR24630900,SRR24630901,SRR24630902,SRR24630906,SRR24630917,SRR24630918,SRR24630919,SRR24630920,SRR24630954,SRR24630955,SRR24630956,SRR25031741,SRR25031747,SRR25031748
CaT2T02g01052,8,2,0,0,0,3,7,8,0,0,9,0,0,0,0
CaT2T02g01053,136,95,49,100,184,185,116,103,66,67,101,86,18,16,29
CaT2T02g01054,70,13,19,22,75,70,50,47,60,52,14,43,11,16,9
CaT2T02g01055,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
CaT2T02g01056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g01057,0,6,6,7,0,0,3,0,4,0,0,8,0,0,2
CaT2T06g02358,2,0,0,0,14,3,4,0,6,3,5,0,0,0,0
CaT2T06g02359,280,171,191,191,307,166,265,319,313,176,199,242,11,0,8
CaT2T03g00089,282,41,41,46,236,144,57,82,50,166,180,172,17,7,0
CaT2T03g00088,470,122,190,145,621,407,360,250,356,352,348,302,60,86,41
CaT2T03g00085,1245,197,224,274,1288,940,616,498,509,799,842,698,85,81,75
CaT2T03g00084,185,111,108,170,234,138,125,119,126,144,145,124,23,46,33
CaT2T03g00087,219,84,88,136,193,127,177,164,175,126,119,103,11,18,14
CaT2T03g00086,572,527,567,441,634,481,983,1084,1605,751,712,707,35,43,18
CaT2T03g00081,8008,284,361,453,8837,6373,883,740,696,4418,4033,4084,48,78,50
CaT2T03g00080,850,79,137,81,936,830,214,226,221,259,292,301,19,33,26
CaT2T03g00083,224,99,105,125,213,140,159,189,177,139,147,115,36,18,20
CaT2T03g00082,240,82,117,118,269,226,225,189,148,133,137,155,20,29,28
CaT2T01g05432,162,104,108,112,180,113,162,178,213,142,106,102,12,30,20
CaT2T06g00967,0,3,2,0,0,0,1,1,0,0,1,0,0,0,0
CaT2T12g00198,4,1,0,0,3,1,1,1,0,2,1,1,1,1,1
CaT2T12g01718,1331,38,85,62,1459,992,455,282,306,1108,991,1183,31,24,30
CaT2T12g01719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g01710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g01711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g01712,189,93,89,163,212,169,193,212,194,139,153,126,19,0,13
CaT2T12g01713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g01714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g01715,146,56,71,76,191,138,83,81,70,115,115,104,5,8,5
CaT2T12g01716,192,84,78,103,203,139,138,118,114,130,130,98,8,15,18
CaT2T12g01717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g03219,49,19,16,22,81,29,38,41,43,31,34,45,4,9,14
CaT2T01g03218,1265,242,275,344,1337,921,518,436,413,729,685,661,38,58,44
CaT2T01g03213,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g03212,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
CaT2T01g03211,43,82,90,85,59,58,36,54,35,37,43,51,50,36,36
CaT2T01g03210,5,0,0,0,0,4,0,0,3,0,7,0,2,2,0
CaT2T01g03217,68,54,69,87,78,38,24,23,44,78,37,50,41,35,53
CaT2T01g03216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g03215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T01g03214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T08g00626,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T08g00627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T08g00624,577,421,438,473,541,460,486,591,432,354,384,403,97,120,85
CaT2T09g02198,145,18,25,33,188,99,49,46,81,79,86,84,17,17,15
CaT2T08g00622,5,0,2,1,0,1,0,0,1,0,5,4,1,1,2
CaT2T08g00623,684,318,352,493,811,461,482,543,393,411,368,368,45,57,62
CaT2T08g00620,77,20,42,39,95,47,76,53,52,64,60,39,10,15,8
CaT2T08g00621,1839,524,582,664,2002,1411,832,744,972,938,991,878,82,119,95
CaT2T09g02193,12,10,21,10,15,8,15,13,19,9,0,0,3,0,0
CaT2T09g02192,275,222,189,206,395,260,298,358,325,250,235,228,57,55,49
CaT2T09g02191,417,162,215,258,493,255,404,336,327,324,302,224,118,108,87
CaT2T09g02190,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0
CaT2T09g02197,200,80,77,90,244,184,137,153,82,149,122,149,6,9,10
CaT2T09g02196,15,16,23,10,18,16,16,22,29,5,0,16,0,8,0
CaT2T09g02195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T08g00629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T12g01595,0,0,0,0,8,8,0,0,0,0,0,3,0,0,0
CaT2T06g01648,1944,516,608,827,2063,1443,943,928,700,1419,1295,1353,87,79,87
CaT2T04g01387,71,47,31,39,46,45,73,56,62,36,30,52,14,14,0
CaT2T02g00862,63,40,74,82,96,51,129,85,94,47,31,41,30,45,45
CaT2T02g00863,655,252,228,387,723,594,548,497,367,492,372,422,45,59,57
CaT2T02g00860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T09g02521,416,820,864,924,472,331,337,695,548,288,245,295,283,317,297
CaT2T02g00866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CaT2T02g00867,207,74,62,73,210,129,129,99,109,127,125,122,25,25,29
CaT2T02g00864,173,127,101,98,185,165,158,169,198,124,81,128,22,18,18
CaT2T02g00865,252,124,160,138,302,252,163,218,201,224,183,153,32,26,46
