Unnamed: 0	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CaT2T02g01792	17499.3049466944	-1.23547203126488	0.276571403489403	-4.46709969171564	7.92871872798641e-06	9.50907977247848e-05
CaT2T02g01791	6483.31761452955	-2.37772672086782	0.399475264384001	-5.95212503215768	2.6468303656976503e-09	7.54175890974429e-08
CaT2T02g01790	8113.89175098725	-2.15927232503033	0.368840784035101	-5.85421249084222	4.792755326331381e-09	1.27513276498449e-07
CaT2T10g02799	20.2637071945647	-2.2103567106402	0.614690574192412	-3.5958851549728	0.0003232904125245	0.0024628065664762
CaT2T10g00930	43.8203958860532	-1.09387212103466	0.384562879152783	-2.84445582330913	0.0044487354392025	0.0219467635489951
CaT2T07g00230	562.506833739389	-1.46072243546517	0.314272754690429	-4.64794486211202	3.35258495331916e-06	4.43314115159702e-05
CaT2T07g00231	82.341096610169	-1.5068354846442	0.321476774597957	-4.68722969654237	2.76928098419796e-06	3.75457543106993e-05
CaT2T04g00171	308.490340380652	-1.44646867612271	0.199865558402845	-7.23720828982071	4.58014469292699e-13	2.8752821988938597e-11
CaT2T03g04013	36.0707302466796	-1.29375717115883	0.493813388556838	-2.61993133669344	0.0087947472875136	0.0379594443149808
CaT2T03g03093	5207.26132772167	-1.30868926594319	0.316882921542578	-4.12988260639772	3.62948515411507e-05	0.0003620467799694
CaT2T04g00133	249.948764563067	-1.33445665638001	0.347120912708842	-3.84435684374722	0.0001208690184593	0.0010365398447098
CaT2T09g01163	293.789982918	-1.21047629937614	0.262084739518452	-4.61864472384097	3.8625453743515e-06	5.02472213426316e-05
CaT2T09g00411	87.783509484364	-3.27647153153636	0.419623118918967	-7.8081292088415	5.804306605367251e-15	5.31289536219781e-13
CaT2T03g00720	522.492168594656	-1.13323575841444	0.29893923645418	-3.79085653611795	0.0001501286563786	0.0012510249262193
CaT2T03g05001	36.4677686005567	-1.57608041477017	0.402807711018617	-3.9127364537898	9.12561109035377e-05	0.0008117474598297
CaT2T08g03182	408.62995435234	-1.48991987703465	0.320650585467678	-4.64655280407972	3.37527765273051e-06	4.45821918723077e-05
