""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T03g00739"	2682.87715247338	2.76738612351502	0.345388647912484	8.01238297854026	1.12506871822869e-15	1.14887075007098e-13	"Yes"	"Yes"	"No"
"CaT2T01g00461"	2223.12037528057	3.39880314158187	0.424475629521476	8.00706308019012	1.17480239019518e-15	1.19276201294184e-13	"Yes"	"Yes"	"No"
"CaT2T03g04833"	12158.3434769048	2.44971363248079	0.306123707362121	8.0023649706521	1.2205198344757e-15	1.23209733690559e-13	"Yes"	"Yes"	"No"
"CaT2T01g05673"	2034.34460919142	2.59178044030454	0.324129675376413	7.99612203756011	1.28399121649003e-15	1.28880618355187e-13	"Yes"	"Yes"	"No"
"CaT2T01g01512"	568.832424588885	2.48308122186779	0.311126532089796	7.98093690431755	1.45226693464483e-15	1.44947726934664e-13	"Yes"	"Yes"	"No"
"CaT2T09g01611"	548.308897806745	1.62918168262497	0.204580441346689	7.96352609223334	1.67204734270391e-15	1.65946002001165e-13	"Yes"	"Yes"	"No"
"CaT2T08g00325"	1388.42902708296	2.52730833714911	0.317546909573383	7.95885036495709	1.73645081686843e-15	1.71375084529596e-13	"Yes"	"Yes"	"No"
"CaT2T04g01202"	316.643544475127	3.49336279462013	0.440821574745468	7.92466384304626	2.28764338196966e-15	2.24519488810422e-13	"Yes"	"Yes"	"No"
"CaT2T01g00128"	10576.8507345513	1.97206672617242	0.249099804306741	7.9167734862771	2.43753229774735e-15	2.37908539071849e-13	"Yes"	"Yes"	"No"
"CaT2T11g03388"	735.609590519692	1.79889429317298	0.227614000261481	7.90326733463857	2.71686031134317e-15	2.63714583847189e-13	"Yes"	"Yes"	"No"
"CaT2T08g00462"	1087.27650808555	1.63577579056987	0.207532174052258	7.88203466782925	3.22092625075881e-15	3.10933787682542e-13	"Yes"	"Yes"	"No"
"CaT2T02g04173"	99.1754752493367	3.93656038496073	0.499965935917694	7.87365718773444	3.44421874053671e-15	3.30682436251747e-13	"Yes"	"Yes"	"No"
"CaT2T09g02924"	3371.45249672007	3.48802454368377	0.443738889656937	7.86053380712344	3.82499866770578e-15	3.65256359263191e-13	"Yes"	"Yes"	"No"
"CaT2T01g05279"	385.360625497061	2.63172963062266	0.33520707567355	7.85105632193049	4.12547626996523e-15	3.91831525726912e-13	"Yes"	"Yes"	"No"
"CaT2T06g01257"	4036.12896252293	-3.0933358294829	0.394284802506907	-7.84543510126469	4.31454928914701e-15	4.07598009315888e-13	"Yes"	"No"	"Yes"
"CaT2T06g00762"	281.898677009047	2.46286413664073	0.314202931432295	7.83845053709002	4.5613983386761e-15	4.28625867292829e-13	"Yes"	"Yes"	"No"
"CaT2T02g03227"	535.829674404128	3.00097326808636	0.382940960679598	7.83664735880066	4.62735232336605e-15	4.30246348129393e-13	"Yes"	"Yes"	"No"
"CaT2T08g02507"	393.423777776801	2.27026633014694	0.289683209961691	7.83706563610358	4.61197006271711e-15	4.30246348129393e-13	"Yes"	"Yes"	"No"
"CaT2T01g02486"	638.481497146527	3.45966433774987	0.442058149184666	7.82626526426645	5.02576352776448e-15	4.64843656971138e-13	"Yes"	"Yes"	"No"
"CaT2T12g02289"	382.380743291494	3.36860576285711	0.430876185741362	7.81803653655426	5.36536198026082e-15	4.93669191371289e-13	"Yes"	"Yes"	"No"
"CaT2T09g00411"	87.783509484364	-3.27647153153636	0.419623118918967	-7.8081292088415	5.80430660536725e-15	5.31289536219781e-13	"Yes"	"No"	"Yes"
"CaT2T04g01049"	691.581353540869	5.90507985248744	0.756582283903495	7.80494068936017	5.95295342809777e-15	5.42086985880284e-13	"Yes"	"Yes"	"No"
"CaT2T03g02045"	125.936621504541	3.16044227236142	0.40498626352654	7.80382585039037	6.00580561050926e-15	5.44095189309008e-13	"Yes"	"Yes"	"No"
"CaT2T02g00832"	1560.95485317651	6.28104988227679	0.805894122050473	7.79388968155722	6.49772821995563e-15	5.85657483335388e-13	"Yes"	"Yes"	"No"
"CaT2T03g02819"	162.646673787237	1.84313258991714	0.236506300282616	7.79316486586051	6.53512612915312e-15	5.86038264962533e-13	"Yes"	"Yes"	"No"
"CaT2T02g03617"	5161.03871250057	3.13927788311655	0.403226320316725	7.78539922852933	6.94934151886057e-15	6.20035693293893e-13	"Yes"	"Yes"	"No"
"CaT2T03g00998"	224.986635737116	3.15596146376597	0.406158714590048	7.77026652487662	7.83211507927917e-15	6.95287160756511e-13	"Yes"	"Yes"	"No"
"CaT2T03g00644"	248.01511168985	3.54293438285784	0.45629074908408	7.76464214970309	8.18760598488374e-15	7.23211236644781e-13	"Yes"	"Yes"	"No"
"CaT2T09g02167"	2406.23654674943	1.92265138127929	0.248345999117143	7.74182546976483	9.79994550970087e-15	8.61322574001869e-13	"Yes"	"Yes"	"No"
"CaT2T08g02783"	303.148368459946	1.74325437482224	0.225403345724741	7.73393300448644	1.04273922818301e-14	9.11932237875300e-13	"Yes"	"Yes"	"No"
"CaT2T10g03236"	327.856642349762	3.66211098947845	0.474752313918708	7.71372962724625	1.22193197462834e-14	1.06338178639331e-12	"Yes"	"Yes"	"No"
"CaT2T01g06011"	699.551532266933	2.35663137043861	0.305560025550613	7.71249893107585	1.23377711514408e-14	1.06842679000664e-12	"Yes"	"Yes"	"No"
"CaT2T02g03575"	590.23661959178	1.85470382740819	0.240670371655059	7.70640696091349	1.29409504975979e-14	1.11519429995397e-12	"Yes"	"Yes"	"No"
"CaT2T01g04830"	191.444000932611	2.80245473159207	0.36454487395523	7.6875439261731	1.4998635932e-14	1.28624224453744e-12	"Yes"	"Yes"	"No"
"CaT2T04g00450"	1368.27771148561	2.65669710043368	0.345810658051314	7.68251943246775	1.55989871527891e-14	1.33126428522306e-12	"Yes"	"Yes"	"No"
"CaT2T11g01672"	129.200843147318	-2.36264888716167	0.307692189824239	-7.67861182473063	1.60821738446413e-14	1.36590232278574e-12	"Yes"	"No"	"Yes"
"CaT2T12g01855"	76.464822520116	2.5755843118716	0.335469141984204	7.67755954135681	1.62147888564787e-14	1.37057636334236e-12	"Yes"	"Yes"	"No"
"CaT2T09g00146"	15264.2261913038	-2.16002387330375	0.282249484922629	-7.65288862757662	1.96514102790803e-14	1.65315149519158e-12	"Yes"	"No"	"Yes"
"CaT2T12g02462"	1717.59099715314	2.08975460567768	0.273181270960488	7.64969940409982	2.01449665285154e-14	1.68663970944433e-12	"Yes"	"Yes"	"No"
"CaT2T02g03091"	344.446340956033	2.41769350651873	0.316088626292736	7.64878361766697	2.02889310819592e-14	1.69068045515986e-12	"Yes"	"Yes"	"No"
"CaT2T08g02666"	53.7486808592502	3.16596727505245	0.414095450899968	7.64550122000071	2.08132978664302e-14	1.72623342773876e-12	"Yes"	"Yes"	"No"
"CaT2T08g02410"	279.790170506954	2.13135661834308	0.279213578781328	7.63342752757845	2.28593232860081e-14	1.88706918304028e-12	"Yes"	"Yes"	"No"
"CaT2T08g00451"	1065.05420969246	2.23446872159316	0.293185154569803	7.62135697106439	2.51022682627756e-14	2.06258916804742e-12	"Yes"	"Yes"	"No"
"CaT2T01g03224"	270.44115745154	2.15594222222417	0.283558902614245	7.60315476730818	2.8899752239242e-14	2.36362510675208e-12	"Yes"	"Yes"	"No"
"CaT2T12g01281"	343.248356165511	-1.86831661598072	0.246357009411708	-7.58377697651956	3.35637908260362e-14	2.73243285130302e-12	"Yes"	"No"	"Yes"
"CaT2T08g02984"	1356.69382294962	1.51708688415492	0.200296727827325	7.5741970456092	3.61355596088135e-14	2.92830640389587e-12	"Yes"	"Yes"	"No"
"CaT2T02g03974"	1187.40502292072	2.34678040866084	0.310123581243008	7.56724270774474	3.81229236054741e-14	3.07524917084158e-12	"Yes"	"Yes"	"No"
"CaT2T01g02887"	533.29021768726	1.51430250524257	0.200483758820787	7.55324278709382	4.24552505188379e-14	3.40915661666269e-12	"Yes"	"Yes"	"No"
"CaT2T11g01880"	80.9876040352109	3.02590409373262	0.401111736630389	7.54379345554003	4.56493944532759e-14	3.64905973941888e-12	"Yes"	"Yes"	"No"
"CaT2T12g03825"	40.4163230783419	-3.18780874847112	0.423104739805959	-7.53432530662051	4.90866163759836e-14	3.90614488692849e-12	"Yes"	"No"	"Yes"
"CaT2T12g00220"	308.618313856882	1.99274905716741	0.26465260535528	7.52967859315902	5.08653708801659e-14	4.02954099537673e-12	"Yes"	"Yes"	"No"
"CaT2T10g02559"	1019.67915307343	3.15040550283715	0.41864377107325	7.52526544169203	5.26133258204782e-14	4.14940631225254e-12	"Yes"	"Yes"	"No"
