""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T07g02793"	647.47281571684	0.95444128019326	0.114768886593266	8.3162023134	9.08267267141914e-17	2.565322202972e-14	"Yes"	"No"	"No"
"CaT2T10g00092"	3324.81724904536	-0.748109135442333	0.0899674450953626	-8.31533155853611	9.14961106722068e-17	2.565322202972e-14	"Yes"	"No"	"No"
"CaT2T09g03222"	1635.17886808235	0.863133338446686	0.103868175839005	8.30989214429387	9.57890964517454e-17	2.64889656174162e-14	"Yes"	"No"	"No"
"CaT2T03g02654"	954.391840470281	1.4663455566928	0.176561264671095	8.30502409135075	9.97991959769132e-17	2.72249509349452e-14	"Yes"	"Yes"	"No"
"CaT2T02g03761"	928.96372718575	0.926118807923368	0.111535633490004	8.3033446706193	1.01220682033805e-16	2.7244558776219e-14	"Yes"	"No"	"No"
"CaT2T03g00269"	970.290400178912	1.08045777566366	0.13022535663935	8.29683099779035	1.06925319939906e-16	2.84013346529854e-14	"Yes"	"Yes"	"No"
"CaT2T01g04711"	264.226475094919	1.77799624842004	0.215108580778694	8.26557565478643	1.39022243203623e-16	3.64472990071628e-14	"Yes"	"Yes"	"No"
"CaT2T04g02427"	2197.17898079779	-1.03683417329028	0.125701257998815	-8.24839933821548	1.60530156471449e-16	4.15464393421685e-14	"Yes"	"No"	"Yes"
"CaT2T10g02075"	498.197377921776	1.50373767078622	0.182442592251379	8.24225117736917	1.69000315007204e-16	4.31849285955752e-14	"Yes"	"Yes"	"No"
"CaT2T09g00765"	540.895654168663	1.21861663274304	0.148113095442692	8.22760897070411	1.90987359306464e-16	4.81932727789949e-14	"Yes"	"Yes"	"No"
"CaT2T02g03695"	4774.51472775939	0.992247095930404	0.120915195026399	8.20614064025429	2.28411842576111e-16	5.69253069886909e-14	"Yes"	"No"	"No"
"CaT2T05g00576"	396.974078699453	1.94249350041887	0.236832491592989	8.20197215066743	2.36475088047396e-16	5.82161292977168e-14	"Yes"	"Yes"	"No"
"CaT2T05g00424"	173.516453220199	1.81187124783106	0.221020703999135	8.19774444224987	2.44939380532748e-16	5.95733888531877e-14	"Yes"	"Yes"	"No"
"CaT2T11g00921"	2925.33531461856	0.999473666320759	0.122675407780017	8.14730258009842	3.72131717715009e-16	8.94312260180105e-14	"Yes"	"No"	"No"
"CaT2T02g01866"	5962.90157897272	0.84765449676759	0.104309871442123	8.12631139362408	4.42551245008724e-16	1.05103317446954e-13	"Yes"	"No"	"No"
"CaT2T08g03228"	2665.14104430651	0.816098767844668	0.100449023481589	8.12450673544126	4.49185383618854e-16	1.05438434175742e-13	"Yes"	"No"	"No"
"CaT2T08g00835"	9575.38411779103	0.947240573030675	0.116693999121955	8.11730320460376	4.76656853285996e-16	1.10600826405568e-13	"Yes"	"No"	"No"
"CaT2T01g03378"	2659.34208310472	0.945215292607854	0.116716664535106	8.09837478112265	5.56982534173879e-16	1.27770527470092e-13	"Yes"	"No"	"No"
"CaT2T12g00723"	4224.92377153159	0.832380866434008	0.102898231634719	8.08936026606267	5.99789197521735e-16	1.36044320565969e-13	"Yes"	"No"	"No"
"CaT2T07g01917"	194.000635435068	1.5546137832436	0.193132167291931	8.0494813735182	8.31456109662589e-16	1.86495605397319e-13	"Yes"	"Yes"	"No"
