""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T07g03200"	324.118550577511	-0.176964559437891	0.241444771606169	-0.732940118192103	0.463594953002757	0.59180655410355	"No"	"No"	"No"
"CaT2T08g00278"	28.7966377838992	-0.287965499189353	0.392998316123965	-0.732739778708159	0.463717157371743	0.591903287878689	"No"	"No"	"No"
"CaT2T03g03080"	92.0413770446487	0.182655311784227	0.249385960224439	0.732420187647467	0.463912140722211	0.592082265837417	"No"	"No"	"No"
"CaT2T08g03240"	45.8820172221137	-0.257032009330567	0.350965112138774	-0.732357720014446	0.463950257723413	0.592082265837417	"No"	"No"	"No"
"CaT2T04g02057"	69.831984813255	-0.210846688353836	0.288044345311738	-0.731993846730947	0.464172323502614	0.592306370967353	"No"	"No"	"No"
"CaT2T11g01432"	51.3956391562938	-0.232077496237003	0.317183400012571	-0.731682352316687	0.464362470330075	0.592489705187964	"No"	"No"	"No"
"CaT2T04g00594"	176.121514702904	-0.18423256579306	0.251958689804965	-0.731201475669167	0.464656098956448	0.592805024076429	"No"	"No"	"No"
"CaT2T06g01399"	56.0362452362851	-0.223046502204801	0.305127024729237	-0.730995566199774	0.464781861144368	0.592846818182045	"No"	"No"	"No"
"CaT2T03g00729"	156.347874798762	-0.189599390365598	0.2593623158837	-0.731021350266692	0.4647661121155	0.592846818182045	"No"	"No"	"No"
"CaT2T12g00671"	84.3925653841274	0.195023176512919	0.266908151295189	0.730675236280935	0.464977544909801	0.593037086840241	"No"	"No"	"No"
"CaT2T01g00964"	75.677610565177	-0.19748235807992	0.27048306291953	-0.730109885433647	0.465323019294873	0.593382582051248	"No"	"No"	"No"
"CaT2T08g01437"	34.5369213758502	-0.273827488949248	0.375065244315743	-0.730079614411646	0.465341521323114	0.593382582051248	"No"	"No"	"No"
"CaT2T02g00763"	186.127168831544	0.154945081207127	0.212258669739065	0.729982343701696	0.46540097716879	0.59339904569706	"No"	"No"	"No"
"CaT2T10g01034"	15.7425624082931	0.373822600287921	0.512465864249087	0.729458538347098	0.465721221050418	0.593747984717178	"No"	"No"	"No"
"CaT2T11g02052"	162.402201594731	-0.181126707273259	0.248477354092431	-0.728946538950513	0.466034365291197	0.593969021603266	"No"	"No"	"No"
"CaT2T12g02484"	38.5051956015903	0.248788238545827	0.341293275167782	0.728957341522538	0.466027757116731	0.593969021603266	"No"	"No"	"No"
"CaT2T05g00684"	28.3603500599139	-0.309006324238965	0.423883389078633	-0.728988991313465	0.46600839653264	0.593969021603266	"No"	"No"	"No"
"CaT2T02g03003"	269.451529715344	0.145027702413066	0.198994420046274	0.728802859795474	0.466122261986417	0.594021663141227	"No"	"No"	"No"
"CaT2T09g00641"	39.5596964294826	-0.286571469723363	0.393431825405407	-0.728389141951262	0.466375408084166	0.594254936366877	"No"	"No"	"No"
"CaT2T02g00173"	13.1035998651035	-0.421236540267349	0.578342495114814	-0.728351355512487	0.466398532691738	0.594254936366877	"No"	"No"	"No"
"CaT2T04g02488"	37.7359650140685	-0.333051657468347	0.457473893905133	-0.728023307789914	0.466599318627374	0.59445135536928	"No"	"No"	"No"
"CaT2T12g02233"	85.6737877423628	0.193554153890909	0.266029453639204	0.727566633104514	0.466878912242131	0.594748126716119	"No"	"No"	"No"
"CaT2T06g03423"	22.6556532439822	0.304460018607125	0.418821881401691	0.726943916082355	0.467260313015199	0.595174515998679	"No"	"No"	"No"
"CaT2T09g03040"	7.02731413081545	0.540474418706304	0.743826750508429	0.726613311953184	0.467462871112074	0.595373041339444	"No"	"No"	"No"
"CaT2T04g01916"	13.5613764950843	0.451215529908579	0.62144210274675	0.726078146160719	0.467790865393649	0.59573126989348	"No"	"No"	"No"
"CaT2T07g00852"	69.0129814541067	-0.237591511892376	0.327424003531897	-0.725638649975249	0.468060320682999	0.596014884976784	"No"	"No"	"No"
"CaT2T09g00150"	88.2628279791758	-0.202178089682287	0.278766449296041	-0.725259765631193	0.468292683813503	0.596251216013018	"No"	"No"	"No"
"CaT2T08g01729"	62.3364711512261	0.23216310330468	0.320231719837537	0.724984718635816	0.468461405323894	0.596406476580221	"No"	"No"	"No"
"CaT2T02g03804"	16.1675990615341	0.405758724913535	0.559789208620899	0.724841991708209	0.46854897126903	0.596458395877071	"No"	"No"	"No"
"CaT2T07g03060"	27.8162866138348	-0.319524948262462	0.440939126139302	-0.724646395206756	0.468668988514515	0.596551610879748	"No"	"No"	"No"
"CaT2T04g03004"	90.1989485938205	0.226717116691468	0.313086637116467	0.724135398366204	0.468982614442576	0.596831846136067	"No"	"No"	"No"
"CaT2T01g04411"	43.3256024921639	-0.256151230143501	0.353734018352491	-0.724135132200515	0.468982777832859	0.596831846136067	"No"	"No"	"No"
"CaT2T12g01633"	64.1582654533779	-0.220212298677201	0.304176317875312	-0.723962668150484	0.469088654410197	0.596907002203373	"No"	"No"	"No"
"CaT2T02g02187"	8.94688011226049	-0.511611428665373	0.707322869071881	-0.723306782568317	0.469491426709144	0.597359900111265	"No"	"No"	"No"
"CaT2T01g02549"	142.591590532043	0.174994347752853	0.242031020112656	0.723024460548073	0.469664856477288	0.597520931566605	"No"	"No"	"No"
"CaT2T04g00175"	68.3306960792799	0.216802692966961	0.300003126815873	0.722668111056134	0.46988381169785	0.59773984387706	"No"	"No"	"No"
