Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR24630968_1	(1.0, 40.00079527738295)	(2.0, 11.891912063763908)	(3.0, 6.616762126560402)	(4.0, 4.447634395428774)	(5.0, 3.387015447931769)	(6.0, 2.6171618676984942)	(7.0, 2.1461250917713026)	(8.0, 1.7772573080751561)	(9.0, 1.516627570857533)	('>10', 16.89437063740515)	('>50', 3.869878220123423)	('>100', 4.203322122312899)	('>500', 0.4734670623894187)	('>1k', 0.15767080829884217)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630968_2	(1.0, 50.79595149057122)	(2.0, 11.895213218895005)	(3.0, 6.2187112524767105)	(4.0, 4.151726253985582)	(5.0, 2.886266510300237)	(6.0, 2.263484222285162)	(7.0, 1.8025644268305285)	(8.0, 1.4797458666227807)	(9.0, 1.2403369293330788)	('>10', 12.776650739620449)	('>50', 2.4097614243618173)	('>100', 1.7783363710259528)	('>500', 0.2060907547947887)	('>1k', 0.09516053889673673)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630969_1	(1.0, 42.22821245029332)	(2.0, 11.896994333753659)	(3.0, 6.598678550503212)	(4.0, 4.483114740481913)	(5.0, 3.2855785012965972)	(6.0, 2.540399001559062)	(7.0, 2.168486627106926)	(8.0, 1.7277438345505602)	(9.0, 1.4613246661918817)	('>10', 16.02321473228281)	('>50', 3.4522166123015117)	('>100', 3.65189022104049)	('>500', 0.37407162015580514)	('>1k', 0.10807410848210179)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630969_2	(1.0, 51.419547145221244)	(2.0, 12.319925206192671)	(3.0, 6.285221437061593)	(4.0, 4.2553918556879715)	(5.0, 2.9472460556415863)	(6.0, 2.2331977937084204)	(7.0, 1.7860859544128767)	(8.0, 1.4529061641697787)	(9.0, 1.2781118743598112)	('>10', 12.10879723948581)	('>50', 2.1353716775503284)	('>100', 1.5052754441955676)	('>500', 0.18349748928684734)	('>1k', 0.08942466302555627)	('>5k', 0.0)	('>10k+', 0.0)
SRR24630977_1	(1.0, 23.21384122136622)	(2.0, 10.095466604289664)	(3.0, 5.891659574096819)	(4.0, 4.112039290298204)	(5.0, 3.114103166252838)	(6.0, 2.533319470060267)	(7.0, 2.1384584298968443)	(8.0, 1.7229449997780866)	(9.0, 1.546108010924773)	('>10', 18.71509794429234)	('>50', 5.845170309959155)	('>100', 10.918860220188662)	('>500', 3.9740135003412087)	('>1k', 4.949134700868474)	('>5k', 0.7761380540142285)	('>10k+', 0.45364450337216056)
SRR24630977_2	(1.0, 30.13312741643514)	(2.0, 11.010045345467613)	(3.0, 6.393703630996127)	(4.0, 4.2530238599004)	(5.0, 3.0750223930384393)	(6.0, 2.35681146221507)	(7.0, 1.979349047405809)	(8.0, 1.6463107936128547)	(9.0, 1.3528240822771982)	('>10', 16.0170966813705)	('>50', 4.916777329875667)	('>100', 9.429517883281308)	('>500', 3.0393335613660444)	('>1k', 4.050419210291858)	('>5k', 0.20441763412139702)	('>10k+', 0.14221966834474425)
SRR24630978_1	(1.0, 20.636342760810695)	(2.0, 9.553598902393261)	(3.0, 5.816813497066082)	(4.0, 4.145831682574571)	(5.0, 3.1418020992342788)	(6.0, 2.515047859324048)	(7.0, 2.0593340304241226)	(8.0, 1.7504786999184858)	(9.0, 1.5372985360104436)	('>10', 19.065926370840845)	('>50', 5.9244746308575165)	('>100', 11.44127400225913)	('>500', 4.246849847115395)	('>1k', 6.614725869178943)	('>5k', 1.0386776179847508)	('>10k+', 0.5115235940072493)
SRR24630978_2	(1.0, 26.65259709981675)	(2.0, 10.615599457417272)	(3.0, 6.317209350119554)	(4.0, 4.273635545142506)	(5.0, 3.2348654009936797)	(6.0, 2.4386579390898033)	(7.0, 1.991975320506904)	(8.0, 1.716373205496016)	(9.0, 1.407776000419081)	('>10', 16.491344265752993)	('>50', 5.282996370599849)	('>100', 9.936845108872081)	('>500', 3.528476731139069)	('>1k', 5.398891421834836)	('>5k', 0.5015475775158447)	('>10k+', 0.21120920528400214)
SRR24630979_1	(1.0, 25.27813888302103)	(2.0, 10.847270153614733)	(3.0, 6.295684639315264)	(4.0, 4.397739816952081)	(5.0, 3.192726234228612)	(6.0, 2.4728781899414236)	(7.0, 2.067978684337355)	(8.0, 1.7696895723327828)	(9.0, 1.4550818299343518)	('>10', 17.56146211588895)	('>50', 5.565198231543017)	('>100', 10.356760258575004)	('>500', 3.8294217074154084)	('>1k', 4.31246252891483)	('>5k', 0.3767599726745454)	('>10k+', 0.22074718131072993)
SRR24630979_2	(1.0, 31.816841875397493)	(2.0, 11.339385929997334)	(3.0, 6.258242704313495)	(4.0, 4.113368579013296)	(5.0, 3.039197097671047)	(6.0, 2.253379190320686)	(7.0, 1.8935672557606815)	(8.0, 1.5458909593437624)	(9.0, 1.2505435060988703)	('>10', 15.348227831337372)	('>50', 4.822180052179716)	('>100', 9.265360551503937)	('>500', 3.1373785731743076)	('>1k', 3.69957944547651)	('>5k', 0.1152077971952917)	('>10k+', 0.10164865121641961)
SRR25031738	(1.0, 81.56625355075572)	(2.0, 7.791339805624646)	(3.0, 2.9132269398729997)	(4.0, 1.5835521616243895)	(5.0, 1.0276422364279236)	(6.0, 0.6539729554269677)	(7.0, 0.5493756924844332)	(8.0, 0.36681572497983933)	(9.0, 0.3383344862378503)	('>10', 2.4338166420231477)	('>50', 0.5130771975410495)	('>100', 0.2625926070010976)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR25031739	(1.0, 81.60445620804343)	(2.0, 8.009358341937862)	(3.0, 3.0289326742008247)	(4.0, 1.4918551934390907)	(5.0, 0.9600700636479689)	(6.0, 0.6889932598942969)	(7.0, 0.5002511525961948)	(8.0, 0.42306574278474596)	(9.0, 0.3055594152509915)	('>10', 2.2486129413662503)	('>50', 0.4049543301063549)	('>100', 0.33389067673203143)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR25031740	(1.0, 76.03669200946108)	(2.0, 9.944446836784667)	(3.0, 3.96896976821363)	(4.0, 2.171004906420688)	(5.0, 1.320746179604886)	(6.0, 0.94624560993809)	(7.0, 0.7005836236145371)	(8.0, 0.5359785643573085)	(9.0, 0.41287680384034164)	('>10', 3.3052997084661624)	('>50', 0.34545562503078475)	('>100', 0.3117003642677922)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
