GeneID	log2FoldChange	color	KO_number
CaT2T08g02921	6.067	#903221	K01723, K17874
CaT2T10g00484	1.744	#e29182	K09286
CaT2T06g03190	1.170	#e29182	K04079
CaT2T06g00508	1.973	#e29182	K07195
CaT2T06g02904	2.670	#db7765	K18880
CaT2T09g02924	3.488	#d45d48	K10775, K13064
CaT2T09g02925	1.256	#e29182	K10775, K13064
CaT2T09g02923	3.451	#d45d48	K10775, K13064
CaT2T06g03786	1.567	#e29182	K14803
CaT2T06g00201	1.344	#e29182	K13456
CaT2T08g02694	1.497	#e29182	K20720, K20721, K20723
CaT2T01g00311	3.675	#d45d48	K21915, K21953
CaT2T08g01358	1.221	#e29182	K08900
CaT2T12g01569	2.114	#db7765	K14638
CaT2T01g01297	2.006	#db7765	K17893
CaT2T01g01296	6.398	#903221	K17893
CaT2T11g03428	1.200	#e29182	K16282
CaT2T01g00411	1.777	#e29182	K09419
CaT2T08g02306	1.087	#e29182	K13414
CaT2T12g02380	1.839	#e29182	K00512, K07418, K15472
CaT2T11g02430	1.467	#e29182	K09287
CaT2T03g02394	2.081	#db7765	K22133
CaT2T02g03092	1.137	#e29182	K08900
CaT2T02g02870	1.439	#e29182	K08472
CaT2T12g02393	4.138	#ca462e	K00512, K07418, K15472
CaT2T12g02399	7.309	#73281a	K14184, K15795, K15799, K15803
CaT2T11g03324	1.408	#e29182	K09422
CaT2T10g00910	1.627	#e29182	K15191
CaT2T03g04031	1.126	#e29182	K11816
CaT2T03g04371	1.523	#e29182	K01537
CaT2T03g04370	1.788	#e29182	K01537
CaT2T10g02436	2.293	#db7765	K01674
CaT2T01g00831	1.550	#e29182	K00924
CaT2T07g00390	2.458	#db7765	K01183
CaT2T07g00392	2.110	#db7765	K01183
CaT2T02g04109	1.637	#e29182	K00737
CaT2T03g04178	1.612	#e29182	K13258
CaT2T11g02129	1.162	#e29182	K22390
CaT2T08g02400	1.892	#e29182	K00430
CaT2T12g00823	1.272	#e29182	K12815
CaT2T02g00953	3.794	#d45d48	K00083
CaT2T07g00628	1.107	#e29182	K14515
CaT2T12g01839	3.135	#d45d48	K09527
CaT2T02g03941	1.671	#e29182	K01785
CaT2T04g00069	1.410	#e29182	K04733
CaT2T05g03091	2.221	#db7765	K08472
CaT2T04g01339	3.546	#d45d48	K08081
CaT2T04g01331	1.295	#e29182	K00430
CaT2T04g01330	1.281	#e29182	K00430
CaT2T04g01335	1.404	#e29182	K04733
CaT2T01g00733	1.193	#e29182	K07874
CaT2T02g03193	4.852	#ca462e	K19476
CaT2T01g00167	1.602	#e29182	K01784
CaT2T02g01022	1.912	#e29182	K08900
CaT2T08g00696	7.459	#73281a	K01590, K01649, K22427
CaT2T08g00695	3.754	#d45d48	K22246
CaT2T08g03120	1.559	#e29182	K12818
CaT2T08g03121	1.410	#e29182	K12818
CaT2T01g03198	1.604	#e29182	K09338
CaT2T11g01949	2.945	#db7765	K08900
CaT2T06g02330	2.548	#db7765	K04733
CaT2T06g02332	1.172	#e29182	K04733
CaT2T06g02338	2.258	#db7765	K11699
CaT2T06g00740	2.966	#db7765	K12581
CaT2T07g00310	1.472	#e29182	K13065
CaT2T06g02070	1.606	#e29182	K11290, K11778
CaT2T12g02737	1.351	#e29182	K07766
CaT2T11g00562	3.584	#d45d48	K13448
CaT2T02g04222	2.067	#db7765	K18696
CaT2T11g00972	1.633	#e29182	K07195
CaT2T01g05712	1.639	#e29182	K21915, K21953
CaT2T03g00421	2.195	#db7765	K04733
CaT2T08g01446	3.447	#d45d48	K14802
CaT2T02g02083	4.788	#ca462e	K09286, K13433
CaT2T02g01099	1.364	#e29182	K13457
CaT2T01g00979	2.268	#db7765	K11446
CaT2T02g02333	1.962	#e29182	K17871
CaT2T06g03637	1.106	#e29182	K12192
CaT2T10g02995	1.693	#e29182	K00942
CaT2T02g04027	1.264	#e29182	K10529
CaT2T07g01857	1.404	#e29182	K13429
CaT2T07g01856	1.407	#e29182	K13429
CaT2T10g00268	2.507	#db7765	K07428, K10717, K20660
CaT2T11g03391	1.447	#e29182	K04733
CaT2T11g03390	1.875	#e29182	K04733
CaT2T11g03392	1.103	#e29182	K04733
CaT2T02g01899	1.249	#e29182	K14503
CaT2T01g03936	1.154	#e29182	K01006
CaT2T05g00337	1.107	#e29182	K04733, K13420
CaT2T02g00851	1.990	#e29182	K17686
CaT2T10g02728	2.498	#db7765	K09422
CaT2T06g01584	4.718	#ca462e	K00454, K15718
CaT2T04g02980	1.178	#e29182	K04730, K04733, K13420
CaT2T12g00933	2.750	#db7765	K08332
CaT2T01g04636	5.460	#ad3c28	K08486
CaT2T02g03562	5.790	#ad3c28	K00588
CaT2T02g03563	1.566	#e29182	K00588
CaT2T02g03561	6.775	#903221	K00588
CaT2T09g00480	1.941	#e29182	K21867
CaT2T07g01665	1.542	#e29182	K00850
CaT2T05g01975	1.301	#e29182	K14496
CaT2T05g01977	1.369	#e29182	K09286
CaT2T05g01116	4.993	#ca462e	K22378
CaT2T05g00649	6.431	#903221	K00430
CaT2T05g00645	3.893	#d45d48	K00430
CaT2T05g00644	5.015	#ad3c28	K00430
CaT2T05g00647	5.717	#ad3c28	K00430
CaT2T03g00972	2.268	#db7765	K13448
CaT2T08g01992	1.311	#e29182	K08770
CaT2T02g00715	1.068	#e29182	K00472, K09422
CaT2T05g00056	2.851	#db7765	K13448
CaT2T09g00692	1.637	#e29182	K05933
CaT2T06g01205	1.494	#e29182	K20843
CaT2T04g00244	1.465	#e29182	K22390
CaT2T08g00830	1.357	#e29182	K13425
CaT2T03g02258	2.788	#db7765	K01183
CaT2T07g00221	2.108	#db7765	K07428, K10717, K20660
CaT2T07g00220	1.064	#e29182	K03265
CaT2T04g01202	3.493	#d45d48	K16282
CaT2T08g01685	1.840	#e29182	K00869
CaT2T12g00265	1.700	#e29182	K01648
CaT2T07g02984	1.038	#e29182	K10666
CaT2T03g01337	1.016	#e29182	K20665
CaT2T04g02713	1.009	#e29182	K00924, K04733
CaT2T05g01199	1.474	#e29182	K04733
CaT2T11g03477	1.773	#e29182	K09514
CaT2T02g04157	1.280	#e29182	K00036
CaT2T01g00643	4.597	#ca462e	K00750
CaT2T06g01822	1.047	#e29182	K02260
CaT2T02g03979	1.320	#e29182	K08900
CaT2T03g04428	1.339	#e29182	K14484
CaT2T10g02092	1.675	#e29182	K00799
CaT2T03g01080	2.643	#db7765	K20843
CaT2T11g00098	1.481	#e29182	K03231
CaT2T06g03239	2.520	#db7765	K20536
CaT2T10g02442	1.567	#e29182	K13699
CaT2T03g01767	2.150	#db7765	K16675
CaT2T04g02823	1.651	#e29182	K03283
CaT2T01g00541	1.645	#e29182	K15292
CaT2T05g00534	2.910	#db7765	K06628
CaT2T05g00533	2.102	#db7765	K06628
CaT2T06g02887	2.482	#db7765	K13347, K13348
CaT2T01g03379	2.330	#db7765	K00279
CaT2T06g00804	1.168	#e29182	K09874
CaT2T08g02943	1.409	#e29182	K03327
CaT2T06g03649	1.233	#e29182	K03676
CaT2T04g02619	3.525	#d45d48	K08900
CaT2T07g02273	2.712	#db7765	K09422
CaT2T01g03311	1.416	#e29182	K00326
