GeneID	log2FoldChange	color	KO_number
CaT2T05g00449	3.278	#d45d48	K01054
CaT2T02g00510	3.993	#d45d48	K14487
CaT2T03g04013	1.015	#e29182	K11251
CaT2T03g04014	1.866	#e29182	K01090
CaT2T09g00417	1.531	#e29182	K04733
CaT2T03g01242	1.535	#e29182	K03517
CaT2T08g03187	2.240	#db7765	K19042
CaT2T10g00666	3.149	#d45d48	K09597
CaT2T08g01690	3.457	#d45d48	K13354
CaT2T08g01694	1.112	#e29182	K07870
CaT2T07g03225	1.640	#e29182	K08867
CaT2T10g01987	4.933	#ca462e	K15255
CaT2T10g02183	1.085	#e29182	K00799
CaT2T06g02649	1.809	#e29182	K20279
CaT2T01g03421	1.125	#e29182	K22381
CaT2T01g00026	2.106	#db7765	K01507
CaT2T01g00021	2.214	#db7765	K01507
CaT2T11g00147	1.186	#e29182	K08681
CaT2T04g02760	1.547	#e29182	K10706
CaT2T03g04196	1.030	#e29182	K15188
CaT2T03g02485	1.318	#e29182	K10260
CaT2T08g02424	5.671	#ad3c28	K21374
CaT2T08g02423	1.935	#e29182	K21374
CaT2T12g00595	1.721	#e29182	K03549
CaT2T12g00597	1.024	#e29182	K00888
CaT2T07g01510	2.802	#db7765	K13464
CaT2T10g03285	1.081	#e29182	K03842
CaT2T10g03289	1.370	#e29182	K04683, K09392
CaT2T02g00937	1.125	#e29182	K01657
CaT2T01g01689	1.020	#e29182	K14442
CaT2T06g01830	1.204	#e29182	K13412
CaT2T12g03687	1.424	#e29182	K07562
CaT2T12g02374	1.533	#e29182	K10526
CaT2T11g01652	2.687	#db7765	K00128
CaT2T11g01381	1.992	#e29182	K00737
CaT2T06g00687	4.345	#ca462e	K05359
CaT2T10g00012	2.784	#db7765	K00134
CaT2T04g00045	3.414	#d45d48	K08176
CaT2T03g04431	2.931	#db7765	K00799
CaT2T04g01315	5.610	#ad3c28	K01183
CaT2T04g01314	5.299	#ad3c28	K01183
CaT2T04g01311	3.615	#d45d48	K14156
CaT2T04g01313	5.369	#ad3c28	K01183
CaT2T11g02351	2.503	#db7765	K00033
CaT2T02g00604	1.184	#e29182	K08360
CaT2T06g03766	1.542	#e29182	K09517
CaT2T03g00696	1.369	#e29182	K17824
CaT2T09g00784	2.693	#db7765	K13065
CaT2T09g00786	1.747	#e29182	K07904, K07976
CaT2T10g00359	3.290	#d45d48	K10666
CaT2T06g00446	1.635	#e29182	K07904, K07905, K07976
CaT2T06g00447	1.471	#e29182	K14689
CaT2T06g00448	1.063	#e29182	K06269
CaT2T06g01314	1.259	#e29182	K01126
CaT2T11g00083	1.882	#e29182	K19613
CaT2T12g02126	2.189	#db7765	K12198
CaT2T06g03201	1.821	#e29182	K04733
