GeneID	log2FoldChange	color	KO_number
CaT2T03g02557	2.009	#db7765	K14826
CaT2T08g03151	1.643	#e29182	K18754
CaT2T07g01414	1.230	#e29182	K04078
CaT2T04g00411	1.187	#e29182	K00512, K07408, K14985
CaT2T02g03509	1.157	#e29182	K07937
CaT2T01g05289	1.072	#e29182	K14686
CaT2T08g01365	1.218	#e29182	K02927
CaT2T10g02811	1.328	#e29182	K02889
CaT2T01g00416	1.394	#e29182	K10755
CaT2T12g01598	1.319	#e29182	K14565
CaT2T10g03332	1.911	#e29182	K09571
CaT2T03g01022	1.270	#e29182	K17428
CaT2T11g01422	1.132	#e29182	K02886, K02965
CaT2T01g00599	1.989	#e29182	K00759
CaT2T11g00178	1.011	#e29182	K09494
CaT2T05g01856	1.236	#e29182	K16912
CaT2T04g01146	1.195	#e29182	K17098
CaT2T04g01850	1.187	#e29182	K12447
CaT2T04g01856	2.248	#db7765	K05909
CaT2T10g00062	1.197	#e29182	K14411
CaT2T10g00061	1.181	#e29182	K00640
CaT2T02g03910	1.438	#e29182	K20628
CaT2T02g03917	1.140	#e29182	K17822
CaT2T12g00708	2.546	#db7765	K03781
CaT2T03g04402	1.468	#e29182	K14565
CaT2T02g02292	1.142	#e29182	K15429
CaT2T03g02005	1.151	#e29182	K03626
CaT2T06g03754	1.472	#e29182	K10527
CaT2T01g00129	2.136	#db7765	K17479
CaT2T06g01017	1.638	#e29182	K00940
CaT2T11g00708	1.879	#e29182	K18532
CaT2T05g00375	3.014	#d45d48	K03676
CaT2T09g03119	1.439	#e29182	K21434
CaT2T01g00323	2.090	#db7765	K15414
CaT2T01g04374	1.821	#e29182	K15404
CaT2T03g01885	1.669	#e29182	K14848
CaT2T10g00864	1.576	#e29182	K02717
CaT2T10g02464	1.263	#e29182	K02896
CaT2T06g02367	1.405	#e29182	K14638
CaT2T12g02426	2.092	#db7765	K01728
CaT2T02g04136	1.090	#e29182	K07556
CaT2T05g01741	1.143	#e29182	K06129
CaT2T11g00517	1.379	#e29182	K13421
CaT2T04g00301	1.119	#e29182	K08145
CaT2T03g02454	2.050	#db7765	K16833
CaT2T03g01187	1.159	#e29182	K13525
CaT2T12g01493	2.387	#db7765	K02951
CaT2T06g00823	1.580	#e29182	K08150
CaT2T10g03272	1.568	#e29182	K02979
CaT2T10g03279	1.582	#e29182	K11128
CaT2T01g01585	2.208	#db7765	K19041
CaT2T12g02321	1.123	#e29182	K20896
CaT2T12g02323	1.295	#e29182	K18342
CaT2T02g04101	1.067	#e29182	K12741
CaT2T11g01627	1.866	#e29182	K01213
CaT2T04g03071	1.054	#e29182	K11584
CaT2T07g00152	1.201	#e29182	K01166
CaT2T11g00236	1.795	#e29182	K10664
CaT2T11g00235	1.247	#e29182	K09646
CaT2T03g04485	1.261	#e29182	K03521
CaT2T01g03233	1.680	#e29182	K11253
CaT2T11g02099	1.016	#e29182	K14857
CaT2T03g00328	1.960	#e29182	K01358
CaT2T01g03962	1.065	#e29182	K14319
CaT2T08g01780	1.399	#e29182	K11251
CaT2T08g01781	1.215	#e29182	K11251
CaT2T07g02370	1.548	#e29182	K00793
CaT2T11g00037	1.260	#e29182	K00121
CaT2T06g03259	2.705	#db7765	K01953
CaT2T12g03860	3.075	#d45d48	K00166
CaT2T06g00138	1.416	#e29182	K02875
CaT2T03g00869	1.793	#e29182	K03695
CaT2T03g00865	1.053	#e29182	K02966
CaT2T02g02667	1.053	#e29182	K05907
CaT2T10g01954	2.872	#db7765	K05605
CaT2T02g03202	3.306	#d45d48	K01602
CaT2T02g03200	1.576	#e29182	K00430
CaT2T08g00080	1.450	#e29182	K16221
CaT2T03g00473	1.074	#e29182	K14651
CaT2T09g00967	1.234	#e29182	K02938
CaT2T04g02549	1.153	#e29182	K01602
CaT2T06g02001	1.345	#e29182	K14496
CaT2T09g01614	1.418	#e29182	K05909
